time:31.6617,vol:152.287
time:31.8138,vol:156.469
time:31.9772,vol:158.954
time:32.1136,vol:159.465
time:32.2752,vol:159.813
time:32.4159,vol:160.305
time:32.5616,vol:161.186
time:32.7178,vol:162.113
time:32.8703,vol:164.448
time:33.0216,vol:166.999
time:33.1624,vol:168.485
time:33.3155,vol:169.67
time:33.4413,vol:170.673
time:33.6252,vol:171.999
time:33.7446,vol:172.768
time:33.9196,vol:173.713
time:34.0378,vol:174.853
time:34.1891,vol:175.75
time:34.3318,vol:177.568
time:34.4921,vol:178.032
time:34.6357,vol:179.965
time:34.808,vol:181.595
time:34.9476,vol:184.014
time:35.0954,vol:185.545
time:35.2341,vol:187.282
time:35.3939,vol:188.876
time:35.5466,vol:191.034
time:35.6779,vol:192.747
time:35.8321,vol:193.549
time:35.9565,vol:194.456
time:36.1252,vol:195.04
time:36.2539,vol:195.485
time:36.4055,vol:195.736
time:36.5406,vol:196.359
time:36.697,vol:196.81
time:36.8391,vol:197.176
time:36.9937,vol:198.145
time:37.1549,vol:201.156
time:37.3,vol:203.055
time:37.4386,vol:204.773
time:37.5573,vol:206.443
time:37.736,vol:208.184
time:37.8496,vol:208.539
time:38.0401,vol:209.152
time:38.1548,vol:210.088
time:38.3148,vol:211.135
time:38.4391,vol:212.247
time:38.6019,vol:213.711
time:38.7428,vol:214.696
time:38.9217,vol:215.716
time:39.0496,vol:216.735
time:39.1968,vol:217.357
time:39.3559,vol:218.768
time:39.5031,vol:219.376
time:39.642,vol:220.406
time:39.8029,vol:221.009
time:39.9526,vol:222.75
time:40.0741,vol:223.56
time:40.2443,vol:225.008
time:40.3592,vol:226.438
time:40.5195,vol:228.155
time:40.6662,vol:230.422
time:40.817,vol:232.315
time:40.9558,vol:236.817
time:41.1188,vol:239.074
time:41.2931,vol:241.566
time:41.4506,vol:243.078
time:41.5849,vol:243.867
time:41.7469,vol:244.298
time:41.8932,vol:245.308
time:42.0364,vol:245.706
time:42.2022,vol:246.081
time:42.3536,vol:247.079
time:42.4926,vol:247.674
time:42.6126,vol:247.983
time:42.783,vol:248.218
time:42.8966,vol:248.27
time:43.0801,vol:248.296
time:43.2025,vol:248.318
time:43.352,vol:248.33
time:43.4774,vol:248.681
time:43.6219,vol:249.495
time:43.7591,vol:250.843
time:43.9123,vol:252.149
time:44.0679,vol:255.788
time:44.1877,vol:259.542
time:44.3609,vol:263.995
time:44.487,vol:266.938
time:44.6534,vol:268.539
time:44.8001,vol:269.648
time:44.9711,vol:270.85
time:45.0885,vol:271.209
time:45.2397,vol:271.752
time:45.3646,vol:272.062
