///1
time:64.2062,vol:573.72
time:64.3127,vol:573.805
time:64.406,vol:574.39
time:64.5753,vol:574.792
time:64.6795,vol:578.415
time:64.8331,vol:579.293
time:64.9466,vol:579.345
time:65.069,vol:579.366
time:65.1889,vol:579.367
time:65.2938,vol:579.368
time:65.4149,vol:579.368
time:65.5334,vol:579.369
time:65.6347,vol:579.37
time:65.7946,vol:579.37
time:65.904,vol:579.371
time:66.0314,vol:579.374
time:66.1524,vol:579.375
time:66.2484,vol:579.388
time:66.4036,vol:579.397
time:66.5149,vol:579.412
time:66.6086,vol:579.44
time:66.8114,vol:579.821
time:66.9089,vol:580.706
time:67.0597,vol:581.503
time:67.1697,vol:582.065
time:67.2604,vol:582.826
time:67.4121,vol:583.598
time:67.5075,vol:583.845
time:67.6719,vol:584.088
time:67.7914,vol:585.286
time:67.8853,vol:586.28
time:68.0318,vol:587.322
time:68.1301,vol:587.559
time:68.2563,vol:589.05
time:68.3751,vol:589.482
time:68.5717,vol:591.044
time:68.7009,vol:593.936
time:68.7954,vol:594.791
time:68.9509,vol:599.102
time:69.0585,vol:601.703
time:69.1572,vol:603.817
time:69.3927,vol:605.086
time:69.4916,vol:606.999
time:69.6374,vol:608.327
time:69.7322,vol:608.778
time:69.8678,vol:610.098
time:69.9741,vol:610.494
time:70.2771,vol:611.479
time:70.3954,vol:613.159
time:70.541,vol:614.387
time:70.6632,vol:614.909
time:70.7582,vol:615.487
time:71.0304,vol:616.452
time:71.1637,vol:622.376
time:71.2935,vol:624.671
time:71.4199,vol:625.046
time:71.5413,vol:625.193
time:71.6385,vol:625.35
time:71.899,vol:625.528
time:72.0065,vol:627.318
time:72.1429,vol:629.055
time:72.2447,vol:630.043
time:72.3742,vol:631.145
time:72.496,vol:632.739
time:72.7583,vol:633.306
time:72.8785,vol:636.201
time:73.1103,vol:637.613
time:73.2233,vol:639.233
time:73.3706,vol:640.293
time:73.4887,vol:641.503
time:73.608,vol:642.414
time:73.8686,vol:643.369
time:74.0114,vol:646.128
time:74.1305,vol:647.597
time:74.229,vol:648.608
time:74.3839,vol:649.911
time:74.4902,vol:651.019
time:74.749,vol:651.397
time:74.8542,vol:652.922
time:74.9992,vol:653.551
time:75.1018,vol:654.367
time:75.3968,vol:655.214
time:75.5014,vol:655.735
time:75.6418,vol:655.991
time:75.7496,vol:656.433
time:75.9077,vol:656.54
time:76.0227,vol:656.599
time:76.1964,vol:656.621
time:76.3183,vol:656.671
time:76.4184,vol:656.713
time:76.5653,vol:656.756
time:76.6661,vol:656.762
time:76.7617,vol:656.771
time:76.9386,vol:656.78
time:77.0389,vol:656.793
time:77.189,vol:656.8
time:77.2995,vol:656.808
time:77.4266,vol:656.841
time:77.5417,vol:656.852
time:77.6483,vol:656.856
time:77.7978,vol:657.205
time:77.9003,vol:658.794
time:77.9952,vol:660.372
time:78.2454,vol:661.803
time:78.3428,vol:664.614
time:78.4892,vol:666.948
time:78.5849,vol:667.434
time:78.7285,vol:668.483
time:78.8393,vol:669.037
time:79.1207,vol:669.686
time:79.2339,vol:670.806
time:79.3744,vol:671.502
time:79.5047,vol:672.097
time:79.6006,vol:672.434
time:79.8425,vol:672.744
time:79.9473,vol:673.654
time:80.0621,vol:673.806
time:80.1673,vol:674.33
time:80.3073,vol:675.009
time:80.4246,vol:675.624
time:80.6624,vol:676.527
time:80.7899,vol:680.139
time:80.8876,vol:683.237
time:81.1527,vol:684.297
time:81.2835,vol:688.684
time:81.4002,vol:690.565
time:81.4986,vol:692.724
time:81.6398,vol:693.401
time:81.7496,vol:694.298
time:82.7525,vol:694.614
time:82.9703,vol:699.349
time:83.0824,vol:699.436
time:83.2223,vol:699.482
